ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
DVY,0.2638482725188906,0.5320987654320989,0.5673240103028225,0.463861088940367,0.7413544882250652,0.4827346465816919,0.5051
IWB,0.3049644459805157,0.2481481481481482,0.4420930969272446,0.6025555912251961,0.7395589285955004,0.5649726866412847,0.4992
DFAC,0.3251127725121452,0.2728395061728396,0.4213028255594966,0.6733564545190465,0.8501556960489601,1.0,0.4961
NOBL,0.2183847324252723,0.4950617283950618,0.3925403203911776,0.3895292254381206,0.8293854387123736,0.5689951994702865,0.4945
DFAU,0.312166330142208,0.2111111111111111,0.4378258844060647,0.3865896206733766,0.7229500020220266,0.5159576229101144,0.4937
VOOG,0.4169199993668303,0.1493827160493827,0.4543335696287654,0.4259702319860099,0.3999069867759459,0.5487336533686478,0.4882
DUHP,0.2664414576320831,0.3098765432098766,0.4078065054730987,0.4213745000547492,0.7074814984565198,0.46887932461513,0.4753
URTH,0.2563062581872806,0.3592592592592594,0.4747168427904926,0.309705167914181,0.6644608603049218,0.4937593113722895,0.4737
XLB,0.4092638280969254,0.1617283950617284,0.3901851319818438,0.7131299423717936,0.1,0.1,0.4718
FTEC,0.5777947450349623,0.1666666666666667,0.4836704170509895,0.4035102514781205,0.1,0.3712961430226784,0.4659
QYLD,0.2937801005490598,0.8037037037037039,0.565480270243807,0.603480110664665,0.3187792351347344,0.3961761297798378,0.4649
DYNF,0.3131617814956868,0.3839506172839507,0.5015926522509684,0.6240233109673168,0.4481565857406684,0.5523092203277605,0.4609
ESGV,0.3445743989599182,0.1740740740740741,0.442406253120526,0.3487968557568103,0.4459242683633717,0.5158086409534847,0.4564
VIS,0.3724342310342488,0.1740740740740741,0.4663765469971135,0.2728345173651946,0.1242643193184422,0.5266843237874524,0.456
ESGU,0.3130345811053873,0.2481481481481482,0.4412716289119311,0.4452915796271893,0.6713761913106777,0.422694918059924,0.4545
IWM,0.5433653783937724,0.2975308641975309,0.3900573201096186,1.0,0.8373441354488226,0.3461181923522596,0.4481
VGT,0.5739145449992242,0.1740740740740741,0.4711157617764172,0.621420886292921,0.1,0.5083595431219998,0.4345
IWV,0.310362762202746,0.3098765432098766,0.4326666375012951,0.3962465581152665,0.7005904317700821,0.5536500579374277,0.4328
IVW,0.4156569398167857,0.2851851851851852,0.443419654152839,0.7611477922282317,0.3916328538883572,0.1238371130607515,0.4303
FNDE,0.3733269292618156,0.5444444444444446,0.7002085824419578,0.3900018087769196,0.8106776485178545,0.4803509352756168,0.4295
QQQM,0.4371165645713861,0.2481481481481482,0.4661704102084576,0.7722303220813385,0.3153215696318564,0.3078298294984275,0.4279
VDE,0.4684916913192254,0.1740740740740741,0.463619779225491,0.363633491899514,0.1,0.3319649064724384,0.4276
VHT,0.2608123680738306,0.1740740740740741,0.330596270581784,0.3871249212010548,0.1,0.5250455222645258,0.4086
PPA,0.2897391896912187,0.7790123456790126,0.5134450099269693,0.2979909717583168,0.1146799131876575,0.706952491309386,0.4043
CGUS,0.2779059628202229,0.4703703703703705,0.4541207006717251,0.3943397119327745,0.6651766577248157,0.46887932461513,0.4011
OEF,0.3303042707708541,0.3098765432098766,0.4672685813807034,0.4358523716303047,0.4569038728549668,0.5324946200960107,0.3946
IWF,0.4407238644142724,0.2851851851851852,0.4294833923807045,0.7132567310115885,0.3272232182575523,0.5765932792584011,0.3841
XLG,0.3607206170617961,0.3098765432098766,0.4748481642193511,0.4808668034632005,0.3765283151126269,0.6467637808309884,0.3823
MTUM,0.4176541183038023,0.2481481481481482,0.4719669506596956,0.4951429033569452,0.5385775716808434,0.6917563317331569,0.3802
IJJ,0.4238793784521931,0.2851851851851852,0.4201195973024358,0.3000645085891779,0.7811479719073103,0.3642939910610827,0.3696
FNDA,0.4959950253428937,0.371604938271605,0.3863215515824926,0.3939234246987004,0.9441556690886052,0.7439000165535509,0.3688
MDY,0.4379919111344353,0.3469135802469137,0.381616593607557,0.5230013559025511,0.8117574107275252,0.3157258731998014,0.3541
ITA,0.3196330351131093,0.5320987654320989,0.4848778038598419,0.4119234755955817,0.1001941145545475,0.6327594769077969,0.351
IOO,0.3177585848399171,0.5567901234567904,0.4774790294058472,0.2950595371341619,0.3678174244773061,0.4210561165369972,0.3429
