ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
IGM,3.0,2026-04-15,33.52,0.18,23.33,-26.42,0.39,0.4,9.21,1.1136,-0.011
XBI,3.0,2026-04-15,18.5,0.35,27.06,-33.0,0.35,9.55,8.81,1.0,0.1233
IDV,3.0,2026-04-15,16.06,4.63,14.63,-14.21,0.5,0.77,8.36,,-0.036
PPA,3.0,2026-04-15,29.84,0.4,17.5,-15.5,0.58,0.18,8.44,0.921,0.1598
IJJ,3.0,2026-04-15,10.86,1.77,18.35,-23.35,0.18,0.19,8.48,6.4144,-0.0702
DFEM,3.0,2026-04-15,16.36,2.26,16.24,-18.81,0.39,0.67,8.59,,0.0
IBB,3.0,2026-04-15,9.67,0.23,19.73,-25.06,0.44,1.65,8.48,0.8,0.1251
QYLD,3.0,2026-04-15,0.64,11.93,13.35,-20.58,0.6,5.51,8.33,2.6033,-0.0488
IOO,3.0,2026-04-15,22.26,0.96,15.91,-19.19,0.4,0.17,8.34,3.0075,-0.0321
VPL,3.0,2026-04-15,15.77,3.3,17.31,-18.25,0.07,0.65,8.18,,-0.0118
VDC,3.0,2026-04-15,4.58,2.15,11.95,-12.78,0.09,0.14,7.98,0.8,0.1101
FTCS,3.0,2026-04-15,8.32,1.11,11.3,-13.22,0.52,0.35,7.97,6.12,-0.0472
AIQ,3.0,2026-04-15,29.21,0.2,22.53,-26.35,0.68,0.83,8.34,1.7513,0.0356
THRO,3.0,2026-04-15,20.56,0.19,15.92,-19.09,0.57,0.51,8.08,3.8986,0.0649
EWT,3.0,2026-04-15,21.35,1.4,24.13,-28.01,0.59,3.46,8.31,,0.0075
URTH,3.0,2026-04-15,17.31,1.53,14.36,-16.94,0.24,0.3,8.04,5.4526,0.0167
GUNR,3.0,2026-04-15,8.32,2.23,16.52,-23.27,0.46,0.64,7.56,,0.2193
XLRE,3.0,2026-04-15,5.12,3.43,16.95,-18.25,0.08,6.43,7.99,0.8,-0.2727
VIS,3.0,2026-04-15,21.27,0.97,17.17,-21.33,0.09,0.09,7.69,1.0,0.0388
COPX,3.0,2026-04-15,27.93,2.59,35.71,-40.74,0.65,1.65,7.76,,-0.0115
BBUS,3.0,2026-04-15,19.09,1.14,15.01,-19.22,0.02,0.18,7.7,5.5432,0.0327
IJS,3.0,2026-04-15,10.38,1.43,21.71,-29.23,0.18,0.36,7.74,7.1736,0.3293
SPLV,3.0,2026-04-15,5.31,2.12,10.95,-10.52,0.25,2.36,7.38,5.3447,-0.2448
XLB,3.0,2026-04-15,8.58,1.75,17.02,-23.93,0.08,11.65,7.74,0.8,-0.3554
FDL,3.0,2026-04-15,10.95,3.61,13.52,-13.19,0.43,0.79,7.3,4.603,0.1382
VONE,3.0,2026-04-15,18.84,1.14,15.03,-19.31,0.06,0.08,7.61,6.0205,0.1986
SPYD,3.0,2026-04-15,6.1,4.37,14.8,-17.98,0.07,1.28,7.27,7.1582,-0.2494
JQUA,3.0,2026-04-15,15.53,1.26,13.7,-17.04,0.12,0.61,7.36,5.0865,0.0782
HEFA,3.0,2026-04-15,14.22,3.26,13.4,-14.28,0.35,1.06,7.25,,-0.1212
DFSV,3.0,2026-04-15,13.6,1.53,21.35,-28.52,0.3,0.9,7.47,6.3898,0.1599
URA,3.0,2026-04-15,39.2,4.4,40.86,-39.45,0.69,3.29,7.68,,0.1535
JGLO,2.6,2026-04-15,14.79,1.25,14.26,-17.73,0.47,0.33,7.08,,0.0
IJT,3.0,2026-04-15,12.83,0.86,20.18,-27.73,0.18,0.12,7.21,,0.3182
IXN,3.0,2026-04-15,28.09,0.34,23.4,-25.55,0.39,0.23,7.48,0.8,0.0044
MCHI,3.0,2026-04-15,5.22,2.27,27.5,-27.63,0.59,3.59,7.04,,-0.0336
DIVO,3.0,2026-04-15,8.2,5.12,10.98,-13.29,0.56,0.45,6.88,,0.1866
TCAF,2.8,2026-04-15,15.41,0.54,14.15,-16.57,0.31,0.67,6.79,,0.1884
BBAX,3.0,2026-04-15,8.06,3.73,16.77,-21.47,0.19,0.27,6.4,,-0.0313
XMMO,3.0,2026-04-15,28.0,0.71,19.99,-25.22,0.35,0.26,6.61,,-0.0786
VFLO,2.8,2026-04-15,19.13,1.42,15.82,-18.3,0.39,0.63,6.62,,0.1904
BBIN,3.0,2026-04-15,12.38,3.9,15.33,-14.26,0.07,0.21,6.4,,-0.1652
INDA,3.0,2026-04-15,7.54,0.0,13.96,-23.28,0.61,5.15,6.59,,0.1226
ESGE,3.0,2026-04-15,16.29,2.45,17.93,-18.03,0.25,0.77,6.59,,0.0345
KWEB,3.0,2026-04-15,-0.42,7.53,35.45,-35.31,0.7,21.2,6.55,,-0.0335
DXJ,3.0,2026-04-15,32.4,1.21,20.44,-22.19,0.48,0.66,6.22,,-0.2744
JAVA,3.0,2026-04-15,12.48,1.35,13.11,-17.08,0.44,0.24,6.33,,0.0
VSGX,3.0,2026-04-15,13.39,3.29,15.19,-15.12,0.1,0.16,6.25,,-0.1532
VOOV,3.0,2026-04-15,12.36,1.8,12.87,-18.39,0.07,0.09,6.28,,-0.0004
XAR,3.0,2026-04-15,33.67,0.35,22.42,-19.82,0.35,0.13,6.29,,0.1812
FXI,3.0,2026-04-15,7.8,2.59,28.53,-30.51,0.73,39.49,6.23,,-0.1123
ARKK,3.0,2026-04-15,24.47,0.0,39.39,-39.56,0.75,11.74,7.12,,-0.1786
SSO,3.0,2026-04-15,32.33,0.82,29.72,-35.34,0.87,5.89,7.07,,-0.247
VCR,3.0,2026-04-15,15.58,0.8,21.14,-27.64,0.09,0.06,6.2,,-0.0379
DLN,3.0,2026-04-15,13.72,1.91,11.73,-14.01,0.28,0.16,5.96,,0.3717
DIHP,3.0,2026-04-15,11.6,2.17,14.17,-12.96,0.27,0.48,5.78,,0.7162
VOX,3.0,2026-04-15,25.83,1.05,18.19,-21.34,0.09,0.19,6.01,,0.0798
DFLV,3.0,2026-04-15,14.13,1.55,14.12,-17.54,0.21,0.54,5.74,,0.0
GSIE,3.0,2026-04-15,13.34,2.72,14.61,-13.38,0.25,0.42,5.69,,-0.0788
