ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
DUHP,0.26644145763208316,0.3098765432098766,0.40780650547309877,0.4213745000547492,0.7074814984565198,0.46887932461513004
VLUE,0.3167322464780296,0.2481481481481482,0.536592522463591,0.3768732332220234,0.47455616515913357,0.8833471279589474
DFAU,0.31216633014220807,0.21111111111111114,0.43782588440606474,0.38658962067337665,0.7229500020220266,0.5159576229101144
ACWX,0.23040065792332617,0.4580246913580248,0.5613753559551264,0.46256318446359646,,0.45636484025823554
EWZ,0.7412527476795634,0.7913580246913582,0.7015636906833063,0.7628208015886466,,0.6329084588644265
SDVY,0.4991467263658702,0.7790123456790126,0.40915063255454176,0.4370475069914876,0.5383470606473182,0.3487998675715942
IGF,0.22301176692206276,0.5444444444444446,0.5513622597907142,0.3803183166192169,,0.2197814931302765
BBCA,0.2129484335947634,0.29753086419753094,0.5039091913919719,0.33927452963877947,,0.27952325773878506
VDE,0.4684916913192254,0.1740740740740741,0.463619779225491,0.363633491899514,0.1,0.3319649064724384
IGV,0.7327755803356328,0.5444444444444446,0.2247772446881428,0.6639478442576358,0.10792230025747138,0.3051481542790929
IJK,0.47069170748517436,0.2728395061728396,0.34886825848383485,0.34639093239035035,0.6503390264615883,0.39319649064724393
PBUS,0.3057963539750379,0.11234567901234568,0.45902081427541125,0.3436459286494174,0.6762047908550478,0.5596093362026155
GDXJ,0.8848660684164367,0.6925925925925928,0.7762173128944996,0.6315364994247459,,0.840738288362854
FNDA,0.49599502534289375,0.371604938271605,0.3863215515824926,0.3939234246987004,0.9441556690886053,0.7439000165535509
SCHH,0.34022604854415217,0.14938271604938275,0.48417068337998487,0.6291825722441833,,0.18521767919218676
CGUS,0.27790596282022295,0.47037037037037055,0.45412070067172516,0.3943397119327745,0.6651766577248157,0.46887932461513004
EZU,0.27470405555677396,0.6802469135802471,0.5726399070404535,0.5000997300458514,,0.35758980301274634
CGGO,0.3042653583005034,0.64320987654321,0.5259652649247322,0.39502792348582455,,0.46887932461513004
PVAL,0.23081445781433074,0.7419753086419756,0.45343816916098334,0.36076331249350935,1.0,0.5856811786128125
QLD,1.0,1.0,0.5692741208295762,0.6746874541730858,0.3208538344364612,0.1
FNDE,0.3733269292618156,0.5444444444444446,0.7002085824419578,0.39000180877691965,0.8106776485178545,0.4803509352756168
AIRR,0.6203614767780894,0.914814814814815,0.5662308385933273,0.33913710316414836,0.14439157219309007,0.7702698228770073
CIBR,0.46665772826324103,0.7790123456790126,0.3468934265518667,0.3922012037015531,0.11634201906097084,0.460089389173978
ONEQ,0.4666831593114016,0.3222222222222223,0.4988063070838221,0.3313588743068644,0.3320639499615815,0.44593610329415667
BBEU,0.23267172038696748,0.1740740740740741,0.5610500487497285,0.3765571074173827,,0.35371627214037415
PRF,0.23313441480674718,0.4827160493827163,0.46466407097798007,0.33929259111034876,1.0,0.7561165369971861
VPU,0.3318405584416748,0.1740740740740741,0.4925838852460626,0.3095787459088787,0.1,0.6360370799536502
FDVV,0.2335840657745223,0.2481481481481482,0.5846719032488963,0.3543613540228271,0.7645390453338365,0.6519781493130278
MGC,0.3146680019779095,0.12469135802469138,0.4631259581199976,0.29795764357348786,0.4884717522882601,0.4283562324118525
IEUR,0.2364242281405196,0.18641975308641978,0.557780720164553,0.3952187391232058,,0.36161231584174813
SHLD,0.3422273712797195,0.6802469135802471,0.6017357980162309,0.3606125501278107,,0.7644595265684492
DBEF,0.21192902686878362,0.4950617283950618,0.7196954861451095,0.36086202481716073,,0.2883131931799372
JGRO,0.4295079761185591,0.6061728395061731,0.4076202782447137,0.3274303401029573,0.4489815725974954,1.0
VIGI,0.2125669963878271,0.14938271604938275,0.42457640313619305,0.32067330250919074,,0.3476080119185566
SPYI,0.25684758639650906,0.9024691358024695,0.5875110153725644,0.42266686611064486,0.6669964816736988,0.6080284721072672
GRID,0.40059703049002915,0.7543209876543212,0.48419190626490793,0.31263153494396023,,0.3869392484687967
DFAE,0.3253182787639691,0.42098765432098784,0.533311042866299,0.37936767033934926,,1.0
RWL,0.18914604422298076,0.5444444444444446,0.4429773727626802,0.2994924349020003,0.9658115740803149,0.5187882800860786
IGM,0.5581808150766536,0.5444444444444446,0.536168241346604,0.3390437627644601,0.1380464526913174,0.45249130938586335
XBI,0.7237562649626629,0.4950617283950618,0.3695791785553822,0.6968765554416798,0.12426431931844223,0.6525740771395465
IDV,0.21961624911105943,0.6802469135802471,0.7542103201801629,0.3697652676548388,,0.41524582022843914
PPA,0.28973918969121876,0.7790123456790126,0.5134450099269693,0.2979909717583168,0.11467991318765755,0.706952491309386
IJJ,0.42387937845219315,0.28518518518518526,0.42011959730243587,0.3000645085891779,0.7811479719073103,0.36429399106108273
DFEM,0.3178008756607088,0.5444444444444446,0.5371427061657044,0.36250444704073437,,0.46887932461513004
