ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
IDV,3.0,2026-04-15,16.06,4.63,14.63,-14.21,0.5,0.77,7.94,-0.036,2026-04-16
PPA,3.0,2026-04-15,29.84,0.4,17.5,-15.5,0.58,0.18,7.85,0.1598,2026-04-16
IJJ,3.0,2026-04-15,10.86,1.77,18.35,-23.35,0.18,0.19,7.98,-0.0702,2026-04-16
DFEM,3.0,2026-04-15,16.36,2.26,16.24,-18.81,0.39,0.67,7.46,0.0,2026-04-16
IBB,3.0,2026-04-15,9.67,0.23,19.73,-25.06,0.44,1.65,8.12,0.1251,2026-04-16
QYLD,3.0,2026-04-15,0.64,11.93,13.35,-20.58,0.6,5.51,8.08,-0.0488,2026-04-16
IOO,3.0,2026-04-15,22.26,0.96,15.91,-19.19,0.4,0.17,7.59,-0.0321,2026-04-16
VPL,3.0,2026-04-15,15.77,3.3,17.31,-18.25,0.07,0.65,11.86,-0.0118,2026-04-16
VDC,3.0,2026-04-15,4.58,2.15,11.95,-12.78,0.09,0.14,9.24,0.1101,2026-04-16
FTCS,3.0,2026-04-15,8.32,1.11,11.3,-13.22,0.52,0.35,7.85,-0.0472,2026-04-16
AIQ,3.0,2026-04-15,29.21,0.2,22.53,-26.35,0.68,0.83,7.22,0.0356,2026-04-16
THRO,3.0,2026-04-15,20.56,0.19,15.92,-19.09,0.57,0.51,7.35,0.0649,2026-04-16
EWT,3.0,2026-04-15,21.35,1.4,24.13,-28.01,0.59,3.46,7.18,0.0075,2026-04-16
URTH,3.0,2026-04-15,17.31,1.53,14.36,-16.94,0.24,0.3,7.31,0.0167,2026-04-16
GUNR,3.0,2026-04-15,8.32,2.23,16.52,-23.27,0.46,0.64,7.54,0.2193,2026-04-16
XLRE,3.0,2026-04-15,5.12,3.43,16.95,-18.25,0.08,6.43,7.31,-0.2727,2026-04-16
VIS,3.0,2026-04-15,21.27,0.97,17.17,-21.33,0.09,0.09,7.6,0.0388,2026-04-16
COPX,3.0,2026-04-15,27.93,2.59,35.71,-40.74,0.65,1.65,6.71,-0.0115,2026-04-16
BBUS,3.0,2026-04-15,19.09,1.14,15.01,-19.22,0.02,0.18,6.98,0.0327,2026-04-16
IJS,3.0,2026-04-15,10.38,1.43,21.71,-29.23,0.18,0.36,7.58,0.3293,2026-04-16
SPLV,3.0,2026-04-15,5.31,2.12,10.95,-10.52,0.25,2.36,7.31,-0.2448,2026-04-16
XLB,3.0,2026-04-15,8.58,1.75,17.02,-23.93,0.08,11.65,6.54,-0.3554,2026-04-16
FDL,3.0,2026-04-15,10.95,3.61,13.52,-13.19,0.43,0.79,7.35,0.1382,2026-04-16
VONE,3.0,2026-04-15,18.84,1.14,15.03,-19.31,0.06,0.08,10.18,0.1986,2026-04-16
SPYD,3.0,2026-04-15,6.1,4.37,14.8,-17.98,0.07,1.28,7.05,-0.2494,2026-04-16
JQUA,3.0,2026-04-15,15.53,1.26,13.7,-17.04,0.12,0.61,6.84,0.0782,2026-04-16
HEFA,3.0,2026-04-15,14.22,3.26,13.4,-14.28,0.35,1.06,6.8,-0.1212,2026-04-16
