ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
CGGO,0.31961246679573185,0.6499999999999999,0.5330940865486333,0.39751514798222276,,0.466187074046028
PVAL,0.24147720959971886,0.7500000000000001,0.46146074040054286,0.3621223021448232,,0.5823428703124489
QLD,1.0,1.0,0.5694318181818182,0.6595948459429586,,0.1
FNDE,0.39505658522876635,0.55,0.7080021621677408,0.3919522565866793,,0.4775952326079086
AIRR,0.6579057065955404,0.9249999999999999,0.5663636363636364,0.33776918636928777,,0.7659105126263461
CIBR,0.4924759337134607,0.7875,0.3514633657056459,0.38537664453760234,,0.4574457577453662
ONEQ,0.49484368487134395,0.325,0.5093400163581665,0.3271263522545438,,0.4433707569222668
BBEU,0.24166863338566624,0.175,0.5665162007771419,0.38226694398839733,,0.3516610147170186
PRF,0.24461558480177656,0.48750000000000004,0.4710967969987667,0.33950610428298456,,0.7518355118032468
VPU,0.3504855466123295,0.175,0.4966122663026932,0.3146133210039802,,0.6324202416620028
FDVV,0.24570601550960658,0.25,0.591165687068792,0.3542707783010408,,0.6482731373259148
MGC,0.3322014638561829,0.125,0.4714266565868712,0.29556847969654476,,0.42588812432094314
IEUR,0.24526678512971634,0.18750000000000003,0.5630688139555284,0.39672587233762846,,0.35951338359727414
SHLD,0.3555005393651214,0.6875,0.6021590909090909,0.3669051653804486,,0.7601323543937054
DBEF,0.22039208177145586,0.5,0.7232360787875347,0.36332392624173404,,0.2866196951239589
JGRO,0.4545174642831727,0.6125,0.4165519423387534,0.3293242255328633,,1.0
VIGI,0.22183932674306978,0.15000000000000002,0.4267211616362295,0.32082586974996297,,0.34558654067757566
SPYI,0.27132530960393064,0.9125,0.5853011295907362,0.4259435448593848,,0.6045665558226059
GRID,0.4225659356160345,0.7625000000000001,0.4937673579755093,0.30506475942017586,,0.38470022717545205
DFAE,0.34232226639372243,0.42500000000000004,0.5405086125488294,0.38338965855513263,,1.0
